               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.038182,            0.034098,            0.017433,             0.74246,             0.69695,             0.75149,             0.47834,            0.032319,            0.019535,           0.0079531,            0.007393,            0.007393,            0.007393
                  81,            0.038433,            0.033998,             0.01703,             0.74313,             0.69928,             0.75188,             0.47888,            0.032315,            0.019529,           0.0079538,             0.00736,             0.00736,             0.00736
                  82,            0.038154,              0.0339,            0.016931,             0.74288,             0.69725,             0.75169,             0.47869,            0.032309,             0.01953,            0.007949,            0.007327,            0.007327,            0.007327
                  83,            0.038312,            0.034476,            0.017123,             0.74175,             0.70037,             0.75181,             0.47868,            0.032306,            0.019526,            0.007939,            0.007294,            0.007294,            0.007294
                  84,            0.038338,            0.034039,             0.01708,             0.74286,             0.69962,             0.75262,             0.47899,            0.032306,            0.019523,           0.0079278,            0.007261,            0.007261,            0.007261
                  85,            0.038114,            0.033918,            0.017144,             0.74254,             0.69936,             0.75263,             0.47956,            0.032302,            0.019516,           0.0079254,            0.007228,            0.007228,            0.007228
                  86,            0.038349,            0.033933,            0.017151,             0.74361,             0.69918,             0.75302,             0.47991,            0.032299,             0.01951,           0.0079246,            0.007195,            0.007195,            0.007195
                  87,            0.038193,            0.034114,            0.016971,             0.74479,             0.69827,             0.75343,             0.47988,            0.032295,            0.019508,           0.0079182,            0.007162,            0.007162,            0.007162
                  88,            0.037842,            0.033821,            0.016481,             0.74637,             0.69685,             0.75364,             0.48014,            0.032292,            0.019505,           0.0079124,            0.007129,            0.007129,            0.007129
                  89,            0.037976,            0.033773,            0.016739,             0.74573,             0.69711,             0.75361,             0.48023,            0.032285,            0.019503,           0.0079105,            0.007096,            0.007096,            0.007096
                  90,            0.038057,            0.033854,            0.016649,             0.74526,              0.6961,             0.75344,             0.48037,            0.032279,            0.019498,           0.0079105,            0.007063,            0.007063,            0.007063
                  91,            0.038026,            0.033828,             0.01653,             0.74393,              0.6968,             0.75361,             0.48059,            0.032273,            0.019494,           0.0079096,             0.00703,             0.00703,             0.00703
                  92,            0.038005,            0.033732,             0.01677,             0.74357,             0.69732,              0.7537,               0.481,            0.032264,            0.019491,           0.0079034,            0.006997,            0.006997,            0.006997
                  93,            0.038158,            0.033643,            0.017176,             0.74397,             0.69611,             0.75405,             0.48078,             0.03226,            0.019488,           0.0078987,            0.006964,            0.006964,            0.006964
                  94,            0.037976,            0.033854,            0.016583,             0.74488,              0.6957,             0.75427,             0.48134,            0.032257,            0.019486,           0.0078938,            0.006931,            0.006931,            0.006931
                  95,            0.037997,            0.033763,            0.017149,             0.74637,             0.69523,             0.75445,             0.48163,            0.032254,             0.01948,           0.0078887,            0.006898,            0.006898,            0.006898
                  96,            0.037752,            0.033611,            0.016843,             0.74023,             0.70136,             0.75463,             0.48159,            0.032251,            0.019474,           0.0078914,            0.006865,            0.006865,            0.006865
                  97,             0.03788,            0.034034,            0.016965,             0.74225,             0.70084,             0.75465,             0.48161,            0.032248,            0.019469,           0.0078919,            0.006832,            0.006832,            0.006832
                  98,            0.037856,            0.033884,            0.016585,             0.74355,             0.70025,             0.75473,             0.48181,            0.032242,            0.019465,           0.0078865,            0.006799,            0.006799,            0.006799
                  99,            0.037753,            0.034068,            0.016628,             0.74438,             0.69974,             0.75567,              0.4822,            0.032237,             0.01946,           0.0078763,            0.006766,            0.006766,            0.006766
                 100,            0.037846,            0.033857,            0.016223,             0.74457,             0.69949,              0.7556,              0.4826,            0.032235,            0.019451,           0.0078714,            0.006733,            0.006733,            0.006733
                 101,            0.037559,            0.033712,            0.016633,             0.74567,             0.69819,             0.75583,             0.48302,             0.03223,            0.019443,           0.0078679,              0.0067,              0.0067,              0.0067
                 102,            0.037732,            0.033637,              0.0163,             0.74712,             0.69663,             0.75617,             0.48357,            0.032223,            0.019442,           0.0078708,            0.006667,            0.006667,            0.006667
                 103,            0.037747,            0.033709,             0.01635,             0.74618,             0.69833,             0.75656,             0.48369,            0.032222,            0.019439,           0.0078626,            0.006634,            0.006634,            0.006634
                 104,            0.037611,            0.033634,            0.016027,             0.74476,             0.69871,             0.75655,             0.48379,            0.032218,            0.019433,           0.0078583,            0.006601,            0.006601,            0.006601
                 105,            0.037634,            0.033358,            0.016436,             0.74458,             0.69845,              0.7568,             0.48407,            0.032209,            0.019429,           0.0078446,            0.006568,            0.006568,            0.006568
                 106,            0.037596,            0.033444,            0.016308,             0.74319,             0.69772,             0.75668,             0.48407,            0.032202,            0.019418,           0.0078394,            0.006535,            0.006535,            0.006535
                 107,            0.037799,            0.033617,            0.016662,             0.74214,             0.70022,             0.75667,             0.48444,            0.032198,            0.019413,           0.0078307,            0.006502,            0.006502,            0.006502
                 108,            0.037675,            0.033537,            0.016474,             0.74275,               0.701,             0.75719,             0.48482,            0.032194,             0.01941,           0.0078206,            0.006469,            0.006469,            0.006469
                 109,            0.037562,            0.033517,            0.016528,             0.74327,             0.70077,             0.75713,             0.48457,            0.032189,            0.019404,           0.0078108,            0.006436,            0.006436,            0.006436
                 110,            0.037833,            0.033815,            0.016152,              0.7436,             0.69966,             0.75737,             0.48481,            0.032184,            0.019402,           0.0078006,            0.006403,            0.006403,            0.006403
                 111,            0.037641,             0.03367,            0.016207,              0.7439,             0.69997,             0.75784,             0.48509,            0.032179,              0.0194,           0.0077919,             0.00637,             0.00637,             0.00637
                 112,            0.037551,            0.033626,            0.015982,             0.74282,             0.70161,             0.75802,             0.48543,            0.032174,            0.019398,            0.007781,            0.006337,            0.006337,            0.006337
                 113,            0.037266,              0.0336,            0.016024,             0.74095,             0.70417,             0.75817,             0.48521,            0.032169,             0.01939,           0.0077708,            0.006304,            0.006304,            0.006304
                 114,            0.037321,            0.033543,            0.016022,             0.74145,             0.70354,             0.75809,             0.48522,            0.032165,            0.019383,           0.0077671,            0.006271,            0.006271,            0.006271
                 115,            0.037618,            0.033683,            0.015917,             0.74154,             0.70517,             0.75829,             0.48581,             0.03216,            0.019381,           0.0077593,            0.006238,            0.006238,            0.006238
                 116,            0.037624,            0.033629,            0.016063,             0.74275,             0.70544,             0.75891,             0.48587,            0.032153,            0.019381,            0.007752,            0.006205,            0.006205,            0.006205
                 117,            0.037426,            0.033239,            0.015878,             0.74138,             0.70658,             0.75874,             0.48612,            0.032148,            0.019376,           0.0077502,            0.006172,            0.006172,            0.006172
                 118,            0.037565,            0.033692,            0.016316,             0.74418,             0.70474,              0.7586,             0.48613,             0.03214,            0.019372,           0.0077468,            0.006139,            0.006139,            0.006139
                 119,            0.037322,            0.033201,            0.015806,             0.74462,             0.70609,             0.75873,             0.48676,            0.032133,            0.019366,            0.007742,            0.006106,            0.006106,            0.006106
                 120,            0.037382,            0.033499,             0.01588,             0.74539,             0.70644,             0.75907,              0.4872,            0.032125,            0.019367,           0.0077439,            0.006073,            0.006073,            0.006073
                 121,            0.037199,            0.033227,            0.015702,             0.74526,             0.70656,             0.75907,             0.48738,            0.032117,            0.019366,           0.0077475,             0.00604,             0.00604,             0.00604
                 122,            0.037535,            0.033711,            0.016027,             0.74762,             0.70508,             0.75891,             0.48743,            0.032109,            0.019365,           0.0077469,            0.006007,            0.006007,            0.006007
                 123,             0.03734,            0.033433,            0.015869,             0.74455,             0.70707,             0.75895,             0.48785,            0.032101,            0.019363,           0.0077451,            0.005974,            0.005974,            0.005974
                 124,            0.037312,            0.033439,            0.015625,             0.74557,             0.70599,             0.75908,             0.48819,            0.032094,             0.01936,           0.0077383,            0.005941,            0.005941,            0.005941
                 125,            0.037206,            0.033468,            0.015683,             0.74659,             0.70572,             0.75907,              0.4883,             0.03209,            0.019357,           0.0077368,            0.005908,            0.005908,            0.005908
                 126,            0.037418,            0.033507,            0.015918,             0.74626,             0.70655,             0.75934,             0.48822,            0.032089,            0.019357,           0.0077402,            0.005875,            0.005875,            0.005875
                 127,            0.037095,            0.032987,            0.015361,             0.74724,             0.70686,              0.7596,             0.48817,            0.032088,            0.019353,           0.0077374,            0.005842,            0.005842,            0.005842
                 128,             0.03699,            0.033125,            0.015388,             0.74669,              0.7074,              0.7598,             0.48816,            0.032083,            0.019352,           0.0077361,            0.005809,            0.005809,            0.005809
                 129,              0.0371,            0.033227,            0.015733,             0.74623,             0.70776,             0.75981,             0.48824,            0.032077,            0.019351,           0.0077328,            0.005776,            0.005776,            0.005776
                 130,            0.037015,             0.03315,            0.015578,              0.7454,             0.70877,              0.7599,             0.48897,            0.032073,            0.019347,           0.0077314,            0.005743,            0.005743,            0.005743
